performer;title;lyrics
M;Harvester Of Sorrow;My life suffocates Planting seeds of hate I’ve loved, turned to hate Trapped far beyond my fate  I give, you take This life that I forsake Been cheated of my youth You turned this lie to truth  Anger Misery You’ll suffer unto me  Harvester of sorrow Language of the mad Harvester of sorrow  Pure black, looking clear My work is done soon here Try getting back to me Get back which used to be  Drink up Shoot in Let the beatings begin Distributor of pain Your loss becomes my gain  Anger Misery You’ll suffer unto me  Harvester of sorrow Language of the mad Harvester of sorrow  All have said their prayers Invade their nightmares To see into my eyes You’ll find where murder lies  Infanticide  Harvester of sorrow Language of the mad Harvester of sorrow Language of the mad Harvester of sorrow 
N;D-7;[x2] Straight as an arrow Defect defect Not straight, not so straight Reject reject Towards anti-social Solo solo Standing on the stairs Cold, cold morning Ghostly image of fear Mayday mayday Gonna leave this region They'll take me with them  Dimension seven [Alt: Dementia Seven]  Straight as an arrow Defect defect Not straight, not so straight Reject reject Towards anti-social Solo solo [Alt: So dumb, so dumb]  Dimension seven [x7] [Alt: Dementia Seven]
N;The Man Who Sold The World;We passed upon the stair We spoke of was and when Although I wasn't there He said I was his friend Which came as a surprise I spoke into his eyes I thought you died alone A long long time ago  Oh no, not me We never lost control You're face to face With the man who sold the world  I laughed and shook his hand And made my way back home I searched for form and land [Alt: I searched for foreign land] For years and years I roamed I gazed a gazeless stare At all the millions here [Alt 1: We walked a million years] [Alt 2: With multimillionaires] [Alt 3: We walked a million hills] I must have died alone [Alt: I must have died along] A long, long time ago  Who knows? Not me I never lost control You're face to face With the man who sold the world  Who knows? Not me We never lost control You're face to face With the man who sold the world 
N;Scoff;In my eyes, I'm not lazy In my face, It's not over In your room, I'm not older In your eyes, I'm not worth it Gimme back my alcohol [x7]  Heal a million, kill a million [x3]  In my eyes, I'm not lazy In my face, It's not over In your room, I'm not older In your eyes, I'm not worth it Gimme back my alcohol [x7]  Heal a million, kill a million [x3]  In my eyes, I'm not lazy In my face, It's not over In your room, I'm not older In your eyes, I'm not worth it Gimme back my alcohol [x7]  Heal a million, kill a million [x3]
N;Moist Vagina;She has a moist vagina I particularly enjoy the circumference I'll be sucking the warts off her anus (Alt: The circular walls of her anus) I prefer her to any other  Marijuana  She had a moist vagina I prefered her to any other  Marijuana 
M;The View;I am a chorus of the voices That gather up the magnets Set before me  I attract you and repel you A science of the heart And blood and meaning  The coldness of most beauties Is a challenge that our youth Must quickly conquer  There is no time for guilt Or second guessing, second guessing Based on feeling  I am the truth, the beauty That causes you to cross Your sacred boundaries  I have no morals Some think me cheap And someone who despises The normalcy of heartbreak The purity of love  But I worship the young And just formed angel  Who sits upon the pin of lust Everything else Bores me  I want to see your suicide I want to see you give it up Your life of reason I want you on the floor And in a coffin your soul shaking I want to have you doubting Every meaning you’ve amassed Like a fortune  Oh throw it away  For worship someone Who actively despises you  For worship someone Who actively despises you  I am the root I am the progress I am the aggressor I am the tablet These ten stories  Worship Worship  Pain and evil have their place Sitting here beside me I offer them to you as servants Of the gold that you must give  Pain and evil have their place Sitting here beside me And I’ll offer them, I offer them to you As servants of the gold That you must give to me  I want to see your suicide I want to see you give it up, give it up Your your life of reason  I want to see you on the floor  And in a coffin, soul shaking Soul shaking I want to have you doubting Every meaning you’ve amassed Like a fortune, like a fortune Throw it away  For worship of someone who actively despises you  Who actively despises you 
M;St. Anger;Saint Anger 'round my neck Saint Anger 'round my neck He never gets respect Saint Anger 'round my neck  [x2] You flush it out, You flush it out Saint Anger 'round my neck You flush it out, You flush it out He never gets respect  Fuck it all and no regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free Fuck it all and fuckin' no regrets I hit the lights on these dark sets Medallion noose, I hang myself Saint Anger 'round my neck  I feel my world shake Like an earth quake Hard to see clear Is it me? Is it fear?  I'm madly in anger with you [x4]  Saint Anger 'round my neck Saint Anger 'round my neck He never gets respect Saint Anger 'round my neck  [x2] You flush it out, You flush it out Saint Anger 'round my neck You flush it out, You flush it out He never gets respect  Fuck it all and no regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free Fuck it all and fuckin' no regrets I hit the lights on these dark sets Medallion noose, I hang myself Saint Anger 'round my neck  I feel my world shake Like an earth quake Hard to see clear Is it me? Is it fear?  I'm madly in anger with you [x4]  And I want my anger to be healthy And I want my anger just for me And I need my anger not to control And I want my anger to be me  And I need to set my anger free [x4]  Set it free!  Fuck it all and no regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free Fuck it all and fuckin' no regrets I hit the lights on these dark sets Medallion noose, I hang myself Saint Anger 'round my neck  I feel my world shake Like an earth quake Hard to see clear Is it me? Is it fear?  I'm madly in anger with you [x8]
M;The Unforgiven III;How could he know this new dawn's light Would change his life forever? Set sail to sea but pulled off course By the light of golden treasure  Was he the one causing pain With his careless dreaming? Been afraid, always afraid Of the things he's feeling He could just be gone He would just sail on He'll just sail on  How can I be lost If I've got nowhere to go? Search for seas of gold How come it's got so cold? How can I be lost In remembrance I relive And how can I blame you When it's me I can't forgive?  These days drift on inside a fog It's thick and suffocating This seeking life outside its hell Inside intoxicating He's run aground like his life Water much too shallow Slipping fast down with his ship Fading in the shadows now  A castaway They've all gone away They've gone away  How can I be lost If I've got nowhere to go? Search for seas of gold How come it's got so cold? How can I be lost In remembrance I relive And how can I blame you When it's me I can't forgive?  Forgive me, forgive me not Forgive me, forgive me not Forgive me, forgive me not Forgive me, forgive me Why can't I forgive me?  Set sail to sea but pulled off course By the light of golden treasure How could he know this new dawn's light Would change his life forever  How can I be lost If I've got nowhere to go? Search for seas of gold How come it's got so cold? How can I be lost In remembrance I relive So how can I blame you When it's me I can't forgive?
M;The End Of The Line;Need...more and more Tainted misery Bleed...battle scars Chemical affinity Reign...legacy Innocence corrode Stain...rot away Catatonic overload  Choke...asphyxia Snuff reality Scorch...kill the light Incinerate celebrity Reaper...butchery Karma amputee Bloodline...redefine Death contagious deity  Hooked into this deceiver Need more and more Into the endless fever Need more and more  New consequence machine You burn through all your gasoline Asylum overtime Never mind... You've reached the end of the line  Time...choke the clock Steal another day Die...faithfully Narcissistic fade away Twisted...jump the rail Shatter the crowd below Breaker...chase the ghost From latest high to all-time low  Hooked into this deceiver Need more and more Into the endless fever Need more and more  New consequence machine Burn through all your gasoline Asylum overtime Never mind... You've reached the end of the line  Drop the hourglass of time Spilling sand we will not find As we gather here today We bid farewell... The slave becomes the master The slave becomes the master The slave becomes the master  The slave becomes the master Need more and more Right now and ever after Need more and more  New consequence machine Burn through all your gasoline Asylum overtime Never mind... Dead hourglass of time Sand we will not ever find We gather here today Say goodbye 'Cause you've reached the end of the line The end of the line The end of the line The end of the line You've reached the end of the line
M;Devil's Dance;Yeah, I feel you too Feel, those things you do In your eyes I see a fire that burns To free the you That's wanting through Deep inside you know, The seeds I plant will grow  One day you will see And dare to come down to me Yeah c'mon, c'mon now take the chance That's right Let's dance  Snake, I am the snake Tempting, that bite you take Let me make your mind Leave yourself behind Be not afraid I've got what you need Hunger I will feed  One day you will see And dare to come down to me Yeah c'mon, c'mon now take the chance That's right Let's dance  Yeah Come dancin'  [solo]  One day you will see And dare to come down to me Yeah c'mon, c'mon now take the chance That's right Let's dance  Yeah, I feel you too Feel, those things you do In your eyes I see a fire that burns To free the you That's running through Deep inside you know Seeds I plant will grow  One day you will see And dare to come down to me Yeah c'mon, c'mon now take the chance That's right Let's dance!  It's nice to see you here 
M;The Unforgiven II;Lay beside me, tell me what they've done Speak the words I wanna hear, to make my demons run The door is locked now, but it's opened if you're true If you can understand the me, then I can understand the you  Lay beside me, under wicked sky Through black of day, dark of night, we share this paralyze The door cracks open but there's no sun shining through Black heart scarring darker still, but there's no sun shining through No, there's no sun shining through No, there's no sun shining...  What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you?  What I've felt, what I've known Sick and tired, I stand alone Could you be there? 'Cause I'm the one who waits for you Or are you unforgiven, too?  Come lay beside me, this won't hurt, I swear She loves me not, she loves me still, but she'll never love again She lay beside me but she'll be there when I'm gone Black heart scarring darker still, yes, she'll be there when I'm gone Yes, she'll be there when I'm gone Dead sure she'll be there...  What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you?  What I've felt, what I've known Sick and tired, I stand alone Could you be there? 'Cause I'm the one who waits for you Or are you unforgiven, too?  Lay beside me, tell me what I've done The door is closed, so are your eyes But now I see the sun, now I see the sun Yes, now I see it  What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you?  What I've felt, what I've known So sick and tired, I stand alone Could you be there? 'Cause I'm the one who waits, The one who waits for you....  Oh, what I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you? (so I dub thee Unforgiven)  Oh, what I've felt... Oh, what I've known...  I take this key (never free...) And I bury it (never me...) in you Because you're unforgiven, too...  Never free... Never me... 'Cause you're unforgiven, too... Oh 
N;Pennyroyal Tea;I'm on my time with everyone I have very bad posture  Sit and drink Pennyroyal Tea Distill the life that's inside of me Sit and drink Pennyroyal Tea I'm anemic royalty  Give me a Leonard Cohen afterworld So I can sigh eternally  I'm so tired and I can't sleep I'm anemic royalty I'm a liar and a thief I'm anemic royalty  I'm on warm milk and laxatives Cherry-flavored antacids  Sit and drink Pennyroyal Tea Distill the life that's inside of me I'm anemic royalty I'm anemic royalty
M;Slither;Don't go looking for snakes you might find them Don't send your eyes to the sun you might blind them Haven't I seen you here before ?  Ohhh, watch the puppets dancin' Yeah, see the clowns fall down Hey, tie your tap shoes tightly Yeah, and wear them into town  See you crawlin'... See you crawlin' in...  Don't go looking for snakes you might find them Don't send your eyes to the sun you might blind them Haven't I seen you here before ? There ain't no heroes here...no....no more  Hey hey hey Oooh, play the game so nicely Oh, check, its your move now Yeah, we're standing in this jungle Yeah, with serpents I have found  See you crawlin'... See you crawlin' in...  Don't go looking for snakes you might find them Don't send your eyes to the sun you might blind them Haven't I seen you here before ? Have your heroes disappeared?  [Solo]  See you crawlin'.... See you crawlin' in....  So don't go looking for snakes you might find them Don't send your eyes to the sun you might blind them Haven't I seen you here before ? No there ain't no heroes here.......no no  Haven't I seen you here before ? No there ain't no heroes here.  Don't go looking for snakes you might find them... Haven't I seen you here before? Have your heroes disappeared?  Don't send your eyes to the sun you might blind them... 
N;Paper Cuts;When I'm feeling tired She pushed food through the door And I crawl towards the crack of light Sometimes I can't find my way  Newspapers spread around Soaking all that they can A cleaning is due again - a good hosing down  The lady whom I feel maternal love for Cannot look me in the eyes But I see hers and they are blue And they cock and twitch and masturbate!  I said so [x3] Nirvana [x6]  Black windows of paint I scratched with my nails I see others just like me Why do they not try to escape?  They bring out the older ones They point in my way They come with a flash of light And take my family away  And very later I have learned To accept some friends of ridicule My whole existence is for your amusement And that is why I'm here with you!  To take Me with You're right  Nirvana [x8]
M;Junior Dad;Would you come to me If I was half drowning An arm above the last wave  Would you come to me Would you pull me up Would the effort really hurt you Is it unfair to ask you To help pull me up  The window broke the silence of the matches The smoke effortlessly floating  Pull me up Would you be my lord and savior Pull me up by my hair Now would you kiss me, on my lips  Burning fever burning on my forehead The brain that once was listening now Shoots out its tiresome message  Won’t you pull me up Scalding, my dead father Has the motor and he’s driving towards An island of lost souls  Sunny, a monkey then to monkey I will teach you meanness, fear and blindness No social redeeming kindness Or – oh, state of grace  Would you pull me up Would you drop the mental bullet Would you pull me by the arm up Would you still kiss my lips Hiccup, the dream is over Get the coffee, turn the lights on Say hello to junior dad The greatest disappointment Age withered him and changed him Into junior dad Psychic savagery  The greatest disappointment The greatest disappointment Age withered him and changed him Into junior dad
M;ManUNkind;Chaos, Awaiting for Adams return Madness, Smiling as we watch it burn  I've become  Hostage to my mind Left myself behind Blind lead blind Quest to find Faith in man(un)kind  Garden, Of Eden, so simple and pure Greedy, Needy, must we have more  I've become  Hostage to my mind Left myself behind Blind lead blind Quest to find Faith in man(un)kind  Fascinate Partner of insanity Decimate Lessons we never learn  Dominate Killing of the innocence Deviate And to dust you return Yeah  Seized by the day Frozen captive by the night Seized by the day All the dark days of your life  Seized by the day Frozen captive by the night Led so astray All the dark days of your life  Zero, Reset, creation of man Foolish, Ready, to witness again?  I've become  Hostage to my mind Left myself behind Blind lead blind Quest to find Faith in man(un)kind  Faith in man(un)kind Oh, faith in man(un)kind Faith in man(un)kind Oh, faith in man(un)kind 
M;Whiplash;Late at night, all systems go You’ve come to see the show We do our best, you’re the rest You make it real, you know There is a feeling deep inside That drives you fuckin’ mad A feeling of a hammerhead You need it oh so bad  Adrenaline starts to flow You’re thrashing all around Acting like a maniac Whiplash  Bang your head against the stage Like you never did before Make it ring, make it bleed Make it really sore In a frenzied madness With your leathers and your spikes Heads are bobbing all around It’s hot as hell tonight  Adrenaline starts to flow You’re thrashing all around Acting like a maniac Whiplash  Here on stage the Marshall noise Is piercing through your ears It kicks your ass, kicks your face Exploding feeling nears Now’s the time to let it rip To let it fuckin’ loose We’re gathered here to maim and kill ‘Cause this is what we choose  Adrenaline starts to flow You’re thrashing all around Acting like a maniac  Here we go  Whiplash  The show is through, the metal’s gone It’s time to hit the road Another town, another gig Again we will explode Hotel rooms and motorways Life out here is raw But we’ll never stop We’ll never quit ‘Cause we’re Metallica  Adrenaline starts to flow You’re thrashing all around Acting like a maniac
N;On A Plain;I'll start this off without any words I got so high that I scratched 'till I bled  I love myself better than you I know it's wrong so what should I do?  The finest day that I ever had Was when I learned to cry on command  I love myself better than you I know it's wrong so what should I do? I'm on a plain I can't complain I'm on a plain  My mother died every night It's safe to say, don't quote me on that  I love myself better than you I know it's wrong so what should I do?  The black sheep got blackmailed again Forgot to put on the zip code  I love myself better than you I know it's wrong so what should I do?  I'm on a plain I can't complain I'm on a plain  Somewhere I have heard this before In a dream of memory restored (Alt: In a dream my memory has stored) As a defense I'm neutered and spayed What the hell am I trying to say?  It is now time to make it unclear To write off lines that don't make sense  I love myself better than you I know it's wrong so what should I do?  And one more special message to go And then I'm done, then I can go home  I love myself better than you I know it's wrong so what should I do?  [x5] I'm on a plain I can't complain 
M;Frantic;If I could have my wasted days back Would I use them to get back on track? Stop to warm at Karma's burning Or look ahead, but keep on turning?  Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?  Could I have my wasted days back Would I use them to get back on track?  You live it or lie it! You live it or lie it!  My lifestyle determines my death style My lifestyle determines my death style  Keep searching, Keep on searching This search goes on, This search goes on Keep searching, Keep on searching This search goes on, This search goes on  Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock  I've worn out always being afraid An endless stream of fear that I've made Treading water full of worry This frantic tick tick talk of hurry  Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?  Worn out on always being afraid An endless stream of fear that I've made  You live it or lie it! You live it or lie it!  My lifestyle determines my death style My lifestyle determines my death style  Keep searching, Keep on searching This search goes on, This search goes on Keep searching, Yeah keep on searching This search goes on, on and on  Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock  Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?  Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?  My lifestyle (Birth Is Pain) Determines my death style (Life Is Pain) A rising tide (Death Is Pain) That pushes to the other side (It's All The Same)  My lifestyle (Birth Is Pain) Determines my death style (Life Is Pain) A rising tide (Death Is Pain) That pushes to the other side (It's All The Same)  Keep searching, Keep on searching This search goes on, on and on Keep searching, Keep on searching This search goes on, on and on  Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock 
N;Dumb;I'm not like them But I can pretend The sun is gone But I have a light The day is done But I'm having fun I think I'm dumb Or maybe just happy  Think I'm just happy [x3]  My heart is broke But I have some glue Help me inhale And mend it with you We'll float around And hang out on clouds Then we'll come down And have a hangover  Have a hangover [x3]  Skin the sun Fall asleep Wish away The soul is cheap Lesson learned Wish me luck Soothe the burn Wake me up  I'm not like them But I can pretend The sun is gone But I have a light My day is done But I'm having fun I think I'm dumb Maybe just happy  Think I'm just happy [x3]  I think I'm dumb [x12]
M;Just A Bullet Away;All roads they lead to shame All drowning in the blame All reflections look the same In the shine of the midnight revolver  All hide beneath a skin A hope so paper thin I'm at the door again And the shine of the midnight revolver  Even the promise of danger has gone dull Staring down the barrel of a 45  Suck on the barrel Suck on the barrel Suck it 'til it's gone dry  For all reflections look the same In the shine of the midnight revolver  Redemption purify Will nothing satisfy The scars just multiply In the shine of the midnight revolver  Twisting in apocalypse Death upon the fingertips Frigid metal touches lips And the shine of the midnight revolver  'Cause you lied  Just a bullet away Just a bullet away from leavin' you Just a bullet away Stop the voices in my head  Caressing death again Becomes the heroin Forbidden medicine Puts a shine on the midnight revolver  Eternal borderline All the faces intertwine Oh God... now I see mine In the shine of the midnight revolver  Even the promise of danger has gone dull Staring down the barrel of a 45  Suck on the barrel Suck on the barrel Suck... suck till it's dry  For all reflections look the same In the shine of the midnight revolver  Down In Misery Down In Misery  Just a bullet away Just a bullet away from leavin' you Just a bullet away Stop the voices in my head  All roads they lead to shame All drowning in the blame Reflections look the same In the shine of the midnight revolver  All hide beneath a skin A hope so paper thin I'm at the door again And the shine of the midnight revolver  Even the promise of danger has gone dull Staring down the barrel of a 45  Suck on the barrel Suck on the barrel Suck... suck till it's dry  Do all reflections look the same In the shine of the midnight revolver  'Cause you lied Yes you lied  Just a bullet away Just a bullet away from leavin' you Just a bullet away Stop the voices in my head 
M;The Wait;Motives changing, day to day, The fire increases, masks decay. I look at the river, white foam floats down, The body's poisoned, gotta sit tight.  The wait, the wait, the wait, the wait.  After wakening, silence grows, The screams subside, distortion shows. Mutant thoughts of bad mouthed news, Is just another birth of distorted views.  The wait, the wait, the wait, the wait.  The wait, the wait, the wait, the wait.
M;Crash Course In Brain Surgery;Look inside and you will see, The words are cutting deep inside my brain. Thunder burning, quickly burning, Knife of words is driving me insane, insane yeah.  Raven black is on my track, He shows me how to neutralize the knife. Show to me in surgery, The art of fighting words to conquer life, conquer life yeah.  Now the wicked lance of fear, Is driving from my heady mountain brain. Crash course in brain surgery, Has stopped the bloody knife of words again yeah, yeah, yeah. 
M;Of Wolf And Man;Off through the new day's mist I run Out from the new day's mist I have come I hunt Therefore I am Harvest the land Taking of the fallen lamb  Off through the new day's mist I run Out from the new day's mist I have come We shift Pulsing with the earth Company we keep Roaming the land while you sleep  Shape shift, nose to the wind Shape shift, feeling I've been Move swift, all senses clean Earth's gift, back to the meaning Back to the meaning of life  Bright is the moon, high in starlight Chill in the air cold as steel tonight We shift Call of the wild Fear in your eyes It's later than you realized  Shape shift, nose to the wind Shape shift, feeling I've been Move swift, all senses clean Earth's gift, back to the meaning Back to the meaning of life  I feel a change Back to a better day Shape shift, hair stands on the back of my neck Shape shift, in wildness is the preservation of the world So seek the wolf in thyself  Shape shift, nose to the wind Shape shift, feeling I have been Move swift, all senses clean Earth's gift, back to the meaning Back to the meaning of wolf and man
M;Lords Of Summer;Sight Pale riders into the night Galloping harder and faster  Through your dreaming wake Walk towards the fire innate Frost bitten soul below zero  Excitation Are you remembering the sound? Recall the shaking of the ground?  Pounding, pounding No remorse Lords of summer set on course  Pushing, pushing Horsemen ride Lords of summer undenied  At last the thawing has begun Come trade your darkness for the sun Melting the chill of winter's turn So celebrate and let your fires burn The lords of summer have returned  Straight Light passes through Penetrate It's been a long lonely winter  Illumination Bright Bathe in the volume and light Reanimated by fire  Transformation Become the nexus of the sound Become the shaking of the ground  Pounding, pounding No remorse Lords of summer set on course  Pushing, pushing Horsemen ride Lords of summer undenied  At last the thawing has begun Come trade your darkness for the sun Melting the chill of winter's turn So celebrate and let your fires burn The lords of summer have returned  Whoa... pounding, pounding No remorse Lords of summer set on course  Whoa... pushing, pushing Horsemen ride The lords of summer undenied, undenied  At last the thawing has begun Come trade your darkness for the sun Melting the chill of winter's turn So celebrate and let your fires burn The lords of summer have returned 
M;My Apocalypse;Claustrophobic Crawl out of this skin Heart explosive Reach in, pull that pin  Fear thy name: Extermination Desecrate inhale the fire  So we cross that line Into the grips Total eclipse Suffer unto my apocalypse  Deadly vision Prophecy reveal Death magnetic Pulling closer still  Fear thy name: Annihilation Desolate inhale the fire  So we cross that line Into the grips Total eclipse Suffer unto my apocalypse My apocalypse...Go!  Crushing metal, ripping skin Tossing body, mannequin Spilling blood, bleeding gas  Mangle flesh, snapping spine Dripping bloody valentine Shatter face, spitting glass  Split apart Split apart Split apart Spit Spit it out  What makes me drift a little bit closer? Dead man takes the steering wheel What makes me know it’s time to cross over? Born to repeat until I feel  See through the skin, bones they all rattle Future and past, they disagree Flesh falls away, bones they all shatter I start to see the end. In. Me. See the end in me  Claustrophobic Climb out of this skin Heart explosive Reach in, pull that pin  Violate, annihilate All wounds unto my eyes Obliterate, exterminate As life itself denied  Fear thy name as hell awakens Destiny inhale the fire  But we’ve crossed that line Into the grips Total eclipse Suffer unto my apocalypse  Tyrant awaken my apocalypse Demon awaken my apocalypse Heaven awaken my apocalypse Suffer forever my apocalypse 
N;About A Girl;I need an easy friend I do with an ear to lend I do think you fit this shoe I do, won't you have a clue?  I'll take advantage while You hang me out to dry But I can't see you every night Free  I do  I'm standing in your line I do hope you have the time I do pick a number, too I do keep a date with you  I'll take advantage while You hang me out to dry But I can't see you every night Free  I do  I need an easy friend I do with an ear to lend I do think you fit this shoe I do, won't you have a clue?  I'll take advantage while You hang me out to dry But I can't see you every night No, I can't see you every night Free  I do... [4x]
M;All Nightmare Long;Luck. Runs. Out. Crawl from the wreckage one more time Horrific memory twists the mind Dark, rutted, cold and hard to turn Path of destruction, feel it burn Still life Incarnation Still life Infamy  Hallucination Heresy Still you run, what's to come? What's to be?  'Cause we hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long, yeah Luck. Runs. Out.  You crawl back in But your luck runs out  1.2.  Luck. Runs. Out.  The light that is not light is here To flush you out with your own fear You hide, you hide, but will be found Release your grip without a sound  Still life Immolation Still life Infamy  Hallucination Heresy Still you run, what's to come? What's to be?  'Cause we hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long, yeah Luck. Runs. Out.  You crawl back in But your luck runs out  Then you crawl back in Into your obsession Never to return This is your confession  Hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long, yeah Luck. Runs. Out.  You crawl back in But your luck runs out  Your luck runs out 
N;Son Of A Gun;Up up up and down Turn turn turnaround Round round roundabout And over again Gun gun son of a gun You are the only one Makes any difference what I say  [x2] The sun shines in the bedroom When we play The raining always starts When you go away  Up up up and down Turn turn turnaround Round round roundabout And over again Gun gun son of a gun You are the only one Makes any difference what I say  [x2] The sun shines in the bedroom When we play The raining always starts When you go away  Up up up and down Turn turn turnaround Round round roundabout And over again Gun gun son of a gun You are the only one Makes any difference what I say  [x4] The sun shines in the bedroom When we play The raining always starts When you go away
M;Some Kind Of Monster;These are the eyes that can't see me These are the hands that drop your trust These are the boots that kick you around This is the tongue that speaks on the inside These are the ears that ring with hate This is the face that I'll never change This is the fist that grinds you down This is the voice of silence no more  These are the legs that in circles run This is the beating you'll never know These are the lips that taste no freedom This is the feel that's not so safe This is the face you'll never change This is the god that ain't so pure This is the god that is not pure This is the voice of silence no more  We the people Are we the people? We the people Are we the people?  Some kind of monster Some kind of monster Some kind of monster This monster lives  This is the face that stones you cold This is the moment that needs to breathe These are the claws that scratch these wounds This is the pain that never leaves This is the tongue that whips you down This is the burden of every man These are the screams that pierce your skin This is the voice of silence no more  This is the test of flesh and soul This is the trap that smells so good This is the flood that drains these eyes These are the looks that chill to the bone These are the fears that swing over head These are the weights that hold you down This is the end that will never end This is the voice of silence no more  We the people Are we the people? We the people Are we the people?  Some kind of monster Some kind of monster Some kind of monster This monster lives  This is the cloud that swallows trust This is the black that uncolors us This is the face that you hide from This is the mask that comes undone  Ominous, I'm in us [x4]  This is the cloud that swallows trust This is the black that uncolors us This is the face that you hide from This is the mask that comes undone  Ominous, I'm in us [x4]  Are we the people?  Some kind of monster Some kind of monster Some kind of monster This monster lives 
M;Metal Militia;Thunder and lightning the gods take revenge Senseless destruction Victims of fury are cowardly now Running for safety Stabbing the harlot to pay for her sins Leaving the virgin Suicide running as if it were free Ripping and tearing  On through the mist and the madness We are trying to get the message to you Metal Militia Metal Militia Metal Militia  Chained and shadowed to be left behind nine and one thousand Metal militia for your sacrifice iron clad soldiers Join or be conquered the law of the land What will befall you The metallization of your inner soul twisting and turning  On through the mist and the madness We are trying to get the message to you Metal Militia Metal Militia Metal Militia  We are as one as we all are the same fighting for one cause Leather and metal are our uniforms protecting what we are Joining together to take on the world with our heavy metal Spreading the message to everyone here Come let yourself go  On through the mist and the madness We are trying to get the message to you Metal Militia Metal Militia Metal Militia 
M;No Remorse;No mercy for what we are doing No thought to even what we have done We don't need to feel the sorrow No remorse for the helpless one  War without end No remorse No repent We don't care what it meant Another day Another death Another sorrow Another breath No remorse No repent We don't care what it meant Another day Another death Another sorrow Another breath  Blood feeds the war machine as it eats its way across the land We don't need the feel the sorrow No remorse is the one command  War without end No remorse No repent We don't care what it meant Another day Another death Another sorrow Another breath No remorse No repent We don't care what it meant Another day Another death Another sorrow Another breath  Only the strong survive No one to save the weaker race We are ready to kill all comers Like a loaded gun right at your face  War without end No remorse No repent We don't care what it meant Another day Another death Another sorrow Another breath No remorse No repent We don't care what it meant Another day Another death Another sorrow Another breath  Attack Bullets are flying People are dying with madness surrounding all hell's breaking loose Soldiers are hounding Bodies are mounting cannons are shouting to take their abuse With war machines going Blood starts to flowing No mercy given to anyone hear The furious fighting Swords are like lighting It all becomes frightening to you Know death is near No remorse  
M;Carpe Diem Baby;Hit dirt Shake tree Split sky Part sea  Strip smile Lose cool Bleed the day And break the rule  Live win Dare fail Eat the dirt And bite the nail  Then make me miss you... Then make me miss you...  So wash your face away with dirt It don't feel good until it hurts So take this world and shake it Come squeeze and suck the day Come carpe diem, baby  Draw Lead Piss wine Sink teeth All mine  Stoke fire Break neck Suffer through this Cheat on death  Hug the curve Lose the time Tear the map And shoot the sign  Then make me miss you... Then make me miss you...  So wash your face away with dirt It don't feel good until it hurts So take this world and shake it Come squeeze and suck the day Come carpe diem, baby  Yeah, Suck it! [Solo]  Live win Dare fail Eat dirt Bite the nail  Strip smile Lose cool Bleed the day And break the rule  Hug the curve Lose the time Tear the map And shoot the sign  Then make me miss you... (Come on, Come on) Then make me miss you...  So wash your face away with dirt It don't feel good until it hurts So take this world and shake it Come squeeze and suck the day  Come make me miss you... Come carpe diem baby Come carpe diem baby
M;For Whom The Bell Tolls;Make his fight on the hill in the early day Constant chill deep inside Shouting gun, on they run through the endless grey On they fight, for they're right, yes, but who's to say? For a hill, men would kill, why? They do not know Stiffened wounds test their pride Men of five, still alive through the raging glow Gone insane from the pain that they surely know  For whom the bell tolls Time marches on For whom the bell tolls  Take a look to the sky just before you die It's the last time he will Blackened roar, massive roar, fills the crumbling sky Shattered goal fills his soul with a ruthless cry Stranger now, are his eyes, to this mystery He hears the silence so loud Crack of dawn, all is gone except the will to be Now they see what will be, blinded eyes to see  For whom the bell tolls Time marches on For whom the bell tolls
