performer;title;lyrics
M;Brandenburg Gate;I would cut my legs and tits off When I think of Boris Karloff and Kinski In the dark of the moon  It made me dream of Nosferatu Trapped on the isle of Doctor Moreau Oh wouldn’t it be lovely  I was thinking Peter Lorre When things got pretty gory as I Crossed to the Brandenburg Gate  I was feeling snappy perhaps I’d been napping And I’d just ate A following heart can tear you apart On a midnight to 8 shift  A graveyard romance can only give one chance As the tombstones weave and breathe  Feeling happy when my heart got beating On a Sunday afternoon  I dreamt of breezes going through the treeses And stars were still illumed I have three hearts that I keep apart Trying to relate To normal feelings and the nightime reelings And some absynthe drunk so late  The cook got drunk and all the whores they shrunk Onto the size of dessert plates But me I’m happy cause I got my little nappy And some opium to set me straight I’m just a small town girl who wants to give it a whirl While my looks still hold me straight  Straight up to illusion and fantasy’s fusion Of reality mixed with drink I’m just a small town girl who’s gonna give life a whirl Looking at the Brandenburg Gate
M;Creeping Death;Slaves Hebrews born to serve, to the pharaoh Heed To his every word, live in fear Faith Of the unknown one, the deliverer Wait Something must be done, four hundred years  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death  Now Let my people go, land of goshen Go I will be with thee, bush of fire Blood Running red and strong, down the Nile Plague Darkness three days long, hail to fire  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death  Die by my hand I creep across the land Killing first born man  Die by my hand I creep across the land Killing first born man  I Rule the midnight air, the destroyer Born I shall soon be there, deadly mass I Creep the steps and floor, final darkness Blood Lamb's blood, painted door, I shall pass  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death 
N;Been A Son;She should have stayed away from friends She should have had more time to spend She should have died when she was born She should have worn the crown of thorns  She should have - been a son She should have - been a son She should have - been a son She should have - been a son  She should have stood out in the crowd She should have made her mother proud She should have fallen on her stance She should have had another chance  [x2] She should have - been a son She should have - been a son She should have - been a son She should have - been a son  She should have stayed away from friends She should have had more time to spend She should have died when she was born She should have worn the crown of thorns  She should have - been a son She should have - been a son She should have - been a son She should have - been a son 
M;Cyanide;Sleep and dream of this Death angel’s kiss Brings final bliss Completely  Empty they say Death, won’t you let me stay?  Empty they say Death, hear me call your name Call your name...  ...Suicide I’ve already died You’re just the funeral I’ve been waiting for  ...Cyanide Living dead inside Break this empty shell forevermore  Wait, wait patiently Your death black wings Unfolding sleep Spreading o’er me  Empty they say Death, won’t you let me stay?  Empty they say Death, hear me call your name Call your name...  ...Suicide I’ve already died You’re just the funeral I’ve been waiting for  ...Cyanide Living dead inside Break this empty shell forevermore  Say, is that rain or are they tears? That has stained your concrete face for years The crying, weeping, shedding strife Year after year, life after life  An air of freshly broken ground A concrete angel lit right down Upon the grave which swallows fast It’s peace at last, oh peace at last!  Empty they say Death, won’t you let me stay?  Empty they say Death, hear me call your name Call your name...  ...Suicide I’ve already died You’re just the funeral I’ve been waiting for  ...Cyanide Living dead inside Break this empty shell forevermore  Forevermore Forevermore It’s just the funeral I’ve been waiting for 
M;Better Than You;I look at you, then you me Hungry and thirsty are we Holding the lion's share Holding the key Holding me back 'cause I'm striving to be  Better than you Better than you [Jason] Better than you Better than you [Jason]  Lock horns, I push and I strive Some how I feel more alive Bury the need for it Bury the seed Bury me deep when there's no will to be  Better than you Better than you [Jason] Better than you Better than you [Jason]  Oh, can't stop this train from rollin' Oh, nothing brings me down No, can't stop this train from rollin', no, no, no, no, no, No, no, forever only no...  [solo 1]  Oh, can't stop this train from rollin' Oh, you can't take it down No, never stop this locomotion, no, no, no, no, no, no, No, you can't bring it down 'cause I'm  Better Than You Better Than You [Jason] Better Than You Better Than You [Jason] Oooh Better Than You Better Than You [Jason] Better Than You Better Than You [Jason] Much Better Than You  Better Than You Better Than You [Jason] Oh Better Than You Better Than You [Jason] Better Than You Better Than You [Jason] Better Than Better Than Better Than Better Than You  [solo 2]  Can't stop this train from rollin'  Forever on and on and on Forever on and on, on  Better Than You Yeah Better Than You 
N;Love Buzz;Would you believe me when I tell you You are the queen of my heart Please don't deceive me when I hurt you Just ain't the way it seems  Can you feel my love buzz? Can you feel my love buzz? Can you feel my love buzz? Can you feel my love buzz!!!  Would you believe me when I tell you You are the queen of my heart Please don't deceive me when I hurt you Just ain't the way it seems  Can you feel my love buzz? Can you feel my love buzz? Can you feel my love buzz? Can you feel my love buzz!!!  
M;Halo On Fire;Obey Obey Come won't you stay Sincere Sincere All ends in tears Endure Endure Thoughts most impure Concede Concede But both shall we bleed  Oh, Halo on fire The midnight knows it well Fast, is desire Creates another hell I fear to turn on the light For the darkness won't go away Fast, is desire Turn out the light Halo on fire  Allure Allure Sweetness obscure Abide Abide Secrets inside Deprive Deprive To feel so alive Obey Obey Just don't turn away  Oh, Halo on fire The midnight knows it well Fast, is desire Creates another hell I fear to turn on the light For the darkness won't go away Fast, is desire Turn out the light Halo on fire  Prayers cannot get through Return to sender Unto which of you Shall I surrender Twisting in disguise Dark resurrection Lighting up the skies Wicked perfection  Too dark to sleep Can't slip away Open or close My eyes betray Beyond the black Come won't you stay  Hello darkness Say goodbye Hello darkness Say goodbye Hello darkness Say goodbye 
N;Downer;Portray sincerity Act out of loyalty Defend every country Wish away the pain Hand out lobotomies To save little families Surrealistic fantasy Bland, boring pain!  Hold me down in restitution Living out your date with fusion Is the whole fleece shun in master? Don't feel guilty, master writing  Somebody said that they're not much like I am, I know I can Make enough of the words as you go along, I sing then some  Sickening pessimist hypocrite master Conservative Communist apocalyptic bastard Thank you dear God for putting me on this Earth I feel very privileged in debt for my thirst!  Hold me down in restitution Living out your date with fusion Is the whole fleece shun in master? Don't feel guilty, master writing  Somebody said that they're not much like I am, I know I can Make enough of the words as you go along, I sing then some
M;Sweet Amber;[x2] Wash your back so you won't stab mine Get in bed with your own kind Live your life so you don't see mine Drape your back so you won't shine  [x2] Oh then she holds my hand And I lie to get a smile  [x4] Using what I want To get what you want  Oh Sweet Amber How sweet are you? How sweet does it get? How sweet are you? How sweet does it get?  [x2] Chase the rabbit, fetch the stick She rolls me over 'til I'm sick She deals in habits, deals in pain I run away but I'm back again  Oh then she holds my hand And I lie to get a smile And she squeezes tighter I still lie to get a smile  [x4] Using what I want To get what you want  Oh Sweet Amber How sweet are you? How sweet does it get? How sweet are you? How sweet does it get?  [x2] She holds the pen that spells the end She traces me and draws me in  Ooh Sweet Amber Ooh Sweet Amber  How sweet are you? How sweet does it get? How sweet are you? How sweet does it get?  (It's never as sweet as it seems)  
N;Sifting;"Afraid - to grade Wouldn't it be fun? Cross, self loss Wouldn't it be fun? Wet your bed Wouldn't it be fun? Some fear none Wouldn't it be fun?  Your eyes ... Teacher said, Your eyes ... Teacher said, Your eyes ... Teacher said, Preacher said  ""Don't have nothing for you"" [x7]  Spell the smell Wouldn't it be fun? Search for church Wouldn't it be fun? Wet your bed Wouldn't it be fun? Cold in coals Wouldn't it be fun?  Your eyes ... Teacher said, Your eyes ... Teacher said, Your eyes ... Preacher said [x2]  ""Don't have nothing for you"" [x7]  ""Don't have nothing for you"" [x9]"
